CustomerID,BikeBuyer,YearlyIncome,Age,MaritalStatus,Education,Gender,NumberCarsOwned,TotalChildren
21173,1,81916,38,M,Bachelors,M,3,1
13249,1,81076,53,M,Partial College,M,2,2
29350,1,86387,40,S,Bachelors,F,3,0
13503,1,61481,48,M,Partial College,M,2,2
22803,1,51804,50,S,Partial College,M,1,0
22092,1,61944,50,M,High School,F,2,2
11229,0,34919,53,S,Partial College,M,1,0
24179,1,61832,28,M,Partial College,F,1,0
12127,1,83834,48,M,Partial College,F,0,2
19903,0,26880,48,S,High School,M,1,0
25924,0,77258,26,S,Partial College,F,1,0
23033,0,102698,44,M,Bachelors,M,3,0
20029,1,108198,41,M,Bachelors,F,1,2
22031,0,133762,65,M,Bachelors,M,2,2
23770,0,30526,34,S,Partial High School,M,1,0
23770,0,30526,34,S,Partial High School,M,1,0
23737,1,56353,54,M,Partial College,F,2,2
17127,1,79019,60,S,High School,F,3,1
28130,1,55387,32,S,Partial College,M,2,0
28455,0,113276,44,M,Bachelors,M,2,2
20161,0,109259,62,S,Partial College,M,1,1
21325,0,83845,45,M,High School,F,0,2
12128,1,59527,48,M,High School,F,0,2
23679,0,108360,64,S,Bachelors,M,1,1
26799,0,87504,29,M,Partial College,M,1,0
15726,1,55461,32,M,Bachelors,F,0,0
15473,1,137464,36,S,Bachelors,F,2,0
28685,1,87676,35,M,High School,M,2,1
12302,1,104187,59,M,Bachelors,M,3,2
23523,1,78222,42,S,Bachelors,M,1,0
18713,0,77383,39,M,Graduate Degree,F,2,1
24082,1,60700,40,M,High School,F,1,2
27886,0,30913,45,S,High School,F,0,0
21711,1,86952,47,S,Partial College,F,2,0
22366,1,58567,47,M,Graduate Degree,M,2,2
15010,0,77478,28,M,Partial College,M,0,0
22296,0,78406,37,M,Bachelors,M,2,1
23237,0,85318,34,S,Partial College,M,1,0
13832,1,52928,29,S,High School,F,0,0
26026,1,79224,38,S,Bachelors,F,2,0
17813,1,33076,42,M,Partial College,M,0,1
26369,0,56641,40,M,High School,F,1,2
18824,0,27203,43,M,High School,M,0,1
21064,0,77098,39,S,High School,F,3,0
28532,1,103200,36,M,Bachelors,M,3,2
16183,0,53784,41,S,Bachelors,F,2,0
25700,0,25826,51,S,Partial College,F,1,0
21746,1,30925,43,M,High School,M,0,1
26560,0,30288,54,M,Partial High School,F,1,2
16988,1,34685,40,S,Bachelors,M,0,0
18562,1,58213,36,M,Graduate Degree,F,1,1
14996,1,108342,30,S,Partial College,M,0,0
26741,1,130385,38,M,Bachelors,F,2,1
19490,1,58227,41,S,Partial College,F,2,0
12720,1,52156,31,S,Partial College,M,1,0
14050,1,131458,39,S,Graduate Degree,M,2,0
11926,0,33510,27,S,Partial College,M,1,0
28023,0,56785,59,S,High School,F,1,1
22541,0,58201,31,S,Partial College,F,1,0
23192,1,82359,40,M,Bachelors,F,2,1
23192,1,82359,40,M,Bachelors,F,2,1
24957,1,55654,60,M,Partial High School,F,2,2
11867,0,33167,45,M,High School,M,1,2
11929,1,107883,59,S,Partial College,F,3,1
27994,1,80056,68,M,High School,F,1,2
21068,1,54577,40,S,Partial High School,M,2,0
26332,1,36070,39,M,Bachelors,M,0,1
20232,1,54049,41,M,Bachelors,M,2,2
15029,0,112726,26,S,Partial College,M,1,0
28907,0,29749,54,M,Partial College,M,1,2
11887,1,56820,47,M,Bachelors,M,2,2
16809,1,102647,55,S,Partial College,F,3,0
18033,1,82258,29,S,Partial College,F,2,0
27605,1,54200,48,M,High School,M,1,2
14106,1,60908,29,S,Partial College,F,2,0
29293,1,105007,38,S,Bachelors,M,2,0
17669,1,32319,49,M,High School,F,0,1
23540,0,52311,43,S,Partial College,M,1,0
19710,0,82851,45,S,Partial College,F,2,0
21495,0,29111,54,M,High School,M,1,2
14773,1,81985,37,M,Graduate Degree,M,1,1
29082,0,33954,56,S,Partial High School,F,0,0
14021,0,29016,30,S,Partial College,F,0,0
23689,1,33152,58,M,High School,F,0,2
13485,1,80331,68,M,Graduate Degree,M,1,2
14179,0,79235,59,S,Bachelors,F,1,1
15084,0,35390,36,S,Graduate Degree,F,1,0
27193,0,136457,31,S,Graduate Degree,M,3,0
20423,0,53549,53,S,High School,F,1,0
18300,1,85674,44,M,Partial College,F,0,2
21781,1,129242,58,M,Bachelors,M,3,2
28780,1,61829,49,M,Partial High School,F,1,2
25162,1,111980,41,S,Bachelors,M,3,0
26829,1,54675,38,M,Bachelors,F,0,1
26829,1,54675,38,M,Bachelors,F,0,1
11345,1,106648,48,S,Partial College,F,3,0
22539,0,58037,32,S,Partial High School,M,1,0
26226,1,106062,32,M,Partial College,F,2,1
22654,0,28008,40,S,High School,M,1,0
20389,0,86828,65,M,Graduate Degree,M,2,3
27716,1,61109,44,S,Partial College,M,2,0
23670,0,35142,66,M,Graduate Degree,F,1,2
28410,0,59673,28,M,High School,F,2,0
21755,1,133272,62,M,Bachelors,M,3,2
12254,0,81957,62,S,Partial College,M,3,1
17082,0,103314,31,S,Partial College,F,1,0
25122,1,103546,38,S,Graduate Degree,F,2,0
25619,1,58317,37,M,Bachelors,M,0,1
24940,0,55825,65,M,Bachelors,M,2,2
13117,0,36367,39,S,Graduate Degree,F,1,0
12460,1,107852,36,S,Bachelors,F,2,0
13619,0,105888,29,M,Bachelors,M,0,0
23455,0,31956,49,S,Partial High School,M,1,0
20986,1,83026,28,M,High School,F,0,0
26141,1,110808,39,S,Graduate Degree,M,2,0
19074,1,51566,57,M,Partial High School,F,1,2
23214,1,132962,42,M,Bachelors,F,3,2
11313,1,135064,52,S,Graduate Degree,M,2,0
26113,1,135997,52,S,Graduate Degree,F,2,0
15865,0,57770,34,S,High School,F,1,0
25060,0,113290,32,S,Bachelors,M,1,0
17902,0,81214,63,M,Partial College,F,1,2
27898,0,80624,45,M,Bachelors,F,2,2
19921,0,106908,59,S,Bachelors,F,2,1
21186,0,51796,40,S,Bachelors,M,1,0
19129,1,80764,35,M,Graduate Degree,M,2,2
25626,0,35297,41,M,Partial High School,F,0,1
15009,0,78604,28,S,Partial College,F,1,0
22070,0,102869,42,M,Bachelors,M,3,0
13303,1,62293,50,M,High School,M,1,2
27822,1,34607,43,S,Partial College,M,1,0
14908,1,53042,49,M,Partial College,F,2,2
27981,0,106195,34,S,Bachelors,F,1,0
15995,1,106360,53,M,Partial College,F,2,2
23808,1,110288,47,M,Partial College,M,2,1
18679,1,112590,33,S,Graduate Degree,M,1,0
23721,1,30844,56,M,Partial College,M,0,2
21351,0,109611,65,M,Graduate Degree,M,2,3
17867,1,111685,38,S,Partial College,F,2,0
16907,1,30259,66,S,Graduate Degree,F,0,1
20288,0,82339,29,S,Partial College,M,2,0
22874,1,87633,44,S,High School,M,1,0
20681,1,80782,36,S,Graduate Degree,M,1,0
15370,1,57125,49,M,Partial College,F,1,2
22593,1,56092,45,S,Bachelors,M,2,0
11884,1,131943,46,M,Graduate Degree,F,2,0
25021,0,52627,55,M,Partial High School,M,2,2
15982,0,26331,45,M,Partial College,M,1,2
19088,0,27908,31,S,Bachelors,M,1,0
19331,0,56751,40,S,High School,M,1,0
16587,1,32619,52,M,Bachelors,M,1,2
11260,0,105983,40,M,Bachelors,F,3,0
18687,1,128877,34,M,Graduate Degree,F,1,2
25906,1,55000,61,S,High School,F,2,1
22969,0,50910,30,S,High School,F,1,0
29397,1,57493,40,M,Partial College,M,2,1
25702,1,82095,63,S,Partial College,F,0,1
12346,0,136001,30,S,Bachelors,M,2,0
18272,1,104443,38,M,Bachelors,F,3,0
25159,0,59013,41,S,Partial College,F,1,0
25368,0,54240,46,S,Partial College,M,1,0
13369,1,103150,58,M,Bachelors,F,3,2
18059,1,108823,45,M,Partial College,F,3,2
12522,0,77300,29,S,High School,F,2,0
16375,1,82308,48,M,Partial College,F,2,1
17683,0,129719,47,S,Graduate Degree,F,1,0
14990,0,36588,29,S,Partial College,M,0,0
29201,0,81053,48,S,Partial College,F,3,0
15111,1,35160,54,M,High School,F,0,2
25772,0,57655,49,S,High School,M,1,0
12178,1,61513,51,M,Partial High School,M,2,1
14083,1,57933,25,M,High School,M,0,0
14281,1,104429,32,S,Bachelors,M,2,0
19895,1,32494,53,M,High School,M,0,2
11137,0,51293,27,M,High School,F,2,0
19042,1,78805,60,M,Partial College,M,3,2
14690,0,33244,25,S,Partial High School,M,1,0
20331,1,30115,43,M,Partial College,M,1,1
16928,1,55404,59,S,Partial College,M,1,1
12013,0,34165,52,S,Partial College,F,0,0
17530,1,57132,49,M,High School,M,2,2
27131,0,132560,36,S,Graduate Degree,M,2,0
26110,1,53062,51,M,High School,M,1,2
13343,1,79950,63,M,Bachelors,F,0,2
29138,1,83167,42,M,Bachelors,M,2,1
